word	positive-emotion	negative-emotion	neutral-emotion	ambiguous-emotion	r			10	
satiate	1.343376792	1.304638445	1.45888721	1.307991644	2.029034951	1.304638445	0	0	0
calmly	1.174454704	1.064645675	1.25125785	1.105067519	12.24051692	1.064645675	0	1	0
idolatrous	1.377189916	1.293410513	1.455758998	1.418067269	7.677635395	1.293410513	0	0	0
jollity	1.205055306	1.259085565	1.27065008	1.29323811	2.316473309	1.205055306	1	0	0
eagerness	1.127381623	1.19190273	1.255633295	1.224454147	9.428908007	1.127381623	1	0	0
happily	1.197900964	1.295538069	1.456654338	1.32752482	28.27906853	1.197900964	1	1	1
admiration	1.061378422	1.234306728	1.250535409	1.175482892	34.61781382	1.061378422	1	1	1
hortatory	1.46261065	1.491529241	1.479742809	1.491236699	2.156736553	1.46261065	1	0	0
romantic	1.161449952	1.269357855	1.322721335	1.319066992	33.06867174	1.161449952	1	1	1
fine	1.37161505	1.465047141	1.473110531	1.438699451	29.48472381	1.37161505	1	1	1
comfortable	1.068837878	1.302283988	1.238731394	1.299753696	30.47087162	1.068837878	1	1	1
fulfillment	1.278088186	1.409705859	1.369029804	1.476838384	21.485108	1.278088186	1	1	1
indulgent	0.967993896	0.995237483	1.063490215	1.135960707	16.1061581	0.967993896	1	1	1
passing	1.493559623	1.505099158	1.453742343	1.539432004	28.86678197	1.453742343	0	1	0
unresponsive	1.255178795	1.105887641	1.098987371	1.285408104	10.03614845	1.098987371	0	1	0
electric	1.626088679	1.720888835	1.619331607	1.600792511	33.93255369	1.600792511	0	1	0
capture	1.577004465	1.478783189	1.555381155	1.479408393	33.3118833	1.478783189	0	1	0
uplifted	1.511929778	1.475256756	1.504329235	1.489003347	16.01315517	1.475256756	0	1	0
hilarious	1.079933008	1.097290756	1.299512047	0.968583993	13.82856357	0.968583993	0	1	0
adequate	1.376772115	1.488771221	1.355445296	1.531001073	29.95792934	1.355445296	0	1	0
comfort	1.170791776	1.31632956	1.313805421	1.412402986	30.06102834	1.170791776	1	1	1
approving	1.430691127	1.456632273	1.475735276	1.516999552	18.42314336	1.430691127	1	1	1
easy	1.19472489	1.360565372	1.354336897	1.291796579	36.0616231	1.19472489	1	1	1
beneficence	1.300780564	1.374763985	1.441341312	1.510302184	6.501499231	1.300780564	1	0	0
easily	1.368988101	1.385708708	1.385839438	1.383243284	31.09891995	1.368988101	1	1	1
convinced	1.251444707	1.241838275	1.384220969	1.263637704	35.19886981	1.241838275	0	1	0
expansive	1.309018663	1.478622476	1.380114827	1.429755998	21.26123688	1.309018663	1	1	1
alright	1.332363993	1.419302656	1.620473516	1.310301094	19.73833036	1.310301094	0	1	0
							195	195	135
									0.692307692
